"Sales" "Price" "Promotion" "Ad Spending" "Impressions"
561.99 10.66 0 1785.85 4200
580 10.16 0 2549.9 5891
447.54 12.77 0 2089.87 7133
503.03 11.68 0 2443.31 6028
508.35 16.1 0 1931.54 4863
455.94 17.66 1 2149.91 6231
480.85 13.2 0 2273.17 6043
554.18 16.76 0 2100.67 4067
497.74 18.86 0 2074.9 4433
506.92 15.52 0 1907.92 6670
579.91 13.18 0 2231.48 4153
629.64 10.53 0 2083.77 5400
431.4 14.35 0 1806.33 3872
437.76 10.74 0 1963.04 5849
534.55 18.65 0 2009.35 5743
559.51 12.31 1 2053.65 7622
515.58 19.25 0 1891.17 4628
565.2 19.67 0 2095.76 5048
665.36 14.52 1 2478.67 7025
461.37 15.69 0 1788.51 4574
489.95 18.1 0 1786.71 2714
521.63 17.78 0 2524.28 6616
601.4 18.32 0 2045.31 5602
439.82 16 0 1911.98 6376
442.55 17.77 0 1788.02 5808
423.49 11.95 0 1832.87 4459
518.9 17.89 0 2061.92 4340
462.04 14.67 0 1905.45 7301
409.13 13.5 0 1484.26 2876
593.33 19.08 0 1950.47 7142
573.94 13.46 1 2461.33 7190
463.07 14.8 0 2020.82 5213
391.93 11.36 0 1503.94 4955
379.55 13.39 0 1814.34 5353
458.07 19.17 0 2002.01 3527
469.16 14.52 0 1694.84 4698
424.75 19.03 0 1810.82 5900
554.74 14.22 0 2260.46 5538
494.57 10.11 0 1830.73 5525
589.15 17.07 0 2225.72 4689
721.62 12.77 1 2868.06 8320
459.69 17.01 0 1701.38 4854
435.92 12.82 0 1855.81 6523
459.13 12.57 0 1886.45 5590
554.95 12 0 2364.09 5645
497.98 16.99 0 1980.43 5808
526.41 19.64 0 2147.61 5561
471.64 19.21 0 1647.05 6235
516.91 14.12 0 2033.87 5198
469.94 11.59 0 2186.19 6249
568.39 18.23 0 2131.7 7907
491.73 19.22 0 1933.86 5625
535.83 12.35 0 1828.67 4166
545.14 16.1 0 2088.84 4719
595.16 10.63 0 2493.44 5143
473.56 13.06 0 1910.38 3705
440.91 18.44 0 1837.38 5295
489.58 15.05 0 2289.24 4957
371.99 13.69 0 1388.57 5113
535.05 16.42 0 2472.39 7495
490.19 16.46 0 1828.88 5082
561.3 20 0 2095.87 4012
521.65 18.03 0 2167.16 5254
440.97 16.39 0 2049.11 4040
547.23 11.34 1 2329.91 6237
399.53 12.78 0 1731.61 3676
472.01 10.74 0 2056.15 5724
526.65 18.05 1 2309.92 7836
536.58 10.56 0 2169.02 5550
596.22 14.31 0 2609.47 6818
368.43 11.87 0 1283.19 5574
586.38 14.35 0 2030.91 4377
601.37 11.03 0 2081.42 5714
429.93 19.94 0 2107.76 4149
388.65 10.18 0 1927.59 4327
482.36 19.42 0 2028.45 4401
407.63 12.66 0 1701.41 5005
523.58 12.03 0 1881.48 5580
525.33 10.46 0 2069.54 5371
641.93 17.78 0 2332.74 4691
584.49 11.88 0 2219.38 4084
443.88 10.63 0 1887.71 6737
444.48 18.51 0 1592.49 5245
559.41 16.87 0 1824.47 5838
477.55 16.85 0 1939.48 5450
446.92 10.27 0 1723.04 6071
448.87 16.23 0 1383.22 5189
500.03 15.13 0 2008.15 7155
582.63 11.91 0 2225.96 4121
539.25 18.92 0 2159.74 4142
470.54 17.09 0 1842.02 5146
458.88 13.28 0 2070.66 5071
519.92 16.92 0 1995.16 4285
501 18.32 0 2177.42 7165
701.35 16.86 1 3010.43 6722
634.51 17.57 1 2664.91 6478
482.57 19.56 0 1755.99 3706
677.15 10.13 0 2414.17 6479
525.55 12.44 0 1762.42 4093
540.57 10.39 0 1841.79 3766
552.64 17.32 0 1956.69 5486
481.92 11.54 0 1896.43 5152
390.45 18.65 0 1994.72 4654
353.97 11.4 0 1603.45 3261
621.26 10.29 0 2452.27 4244
572.35 15.77 0 2390.8 4439
515.45 12.84 0 1783.14 5146
479.98 17.26 0 1839.26 6004
534.19 19.52 1 2369.58 6462
597.57 12.3 1 2501.66 7475
483.77 17.44 0 1991.65 4118
498.54 10.97 0 1927.6 5670
546.96 13 0 2077.34 5129
505 15.52 0 1887.37 4596
548.6 15.4 0 2020.88 3621
581.75 15.92 0 2158.96 4517
549.1 19.79 0 2079.61 5564
532.9 19.81 0 2042.94 3902
499.19 15 0 2460.18 3351
485.03 16.32 0 2266.47 7636
474.28 19.64 0 1820.59 3477
508.07 15.56 0 2090.18 4662
458.86 19.02 0 2087.05 3376
495.14 13.28 1 1866.66 6991
593.44 18.11 0 2092.81 4712
572.76 16.17 0 2300.9 3906
516.2 12.72 0 1813.94 5054
560.88 11.86 0 2098.73 4042
447.18 11.41 0 1540.02 7753
505.98 19.72 0 2034.05 4112
539.78 17.21 0 1632.42 5140
421.14 13.56 0 1554.49 3942
592.7 13.07 0 2384.05 3227
510.84 16.4 0 1715.07 5741
373.03 13.66 0 1675.84 5210
458.15 18.43 0 1989.95 6053
447.05 17.69 0 1699.54 5088
603.25 16.75 0 2374.68 5062
558.57 10.58 0 2181.8 7036
535.21 13.75 0 2194.69 5579
452.82 16.66 0 1777.64 6852
532.63 10.18 0 2395.93 4347
536.92 17.58 0 2161.26 5509
500.57 10.09 0 1701.41 5052
416.96 15.38 0 1903.84 4947
365.59 13.05 0 1636.43 4919
451.93 15.18 0 1537.11 6128
568.42 14.37 0 1893.22 3410
575.19 11.05 1 2305.64 5900
463.77 19.64 0 2010.31 5998
451.41 10.24 0 1667.79 4681
468.69 15.42 0 2050.92 5130
524.34 12.31 0 1882.03 5765
602.22 14.76 0 2108.8 4116
568.15 11.33 0 2385.44 3922
483.08 14.82 0 1886.64 5797
366.54 15.52 0 1719.33 5765
419.54 17.75 0 1827.34 3807
477.18 15.28 0 1821.14 3920
424.43 19.65 0 1965.82 4706
640.78 17.26 1 2336.88 7110
518.76 17.83 0 2101.14 5832
463.78 19.92 0 2068.97 4686
553.97 13.22 0 2140.17 3997
510.62 12.29 0 2240.8 5139
567.12 19.87 0 1924.41 2558
531.63 11.81 0 2115.53 5418
449.17 16.25 0 1679.65 4868
457.41 11.53 0 1952.55 4737
568.41 15.27 0 2144.85 5998
580.44 10.96 0 2475.66 5511
479.23 13.87 0 2185.8 4631
503.2 15.76 0 1873.6 3638
523.52 16.95 0 2133.25 4367
460.33 12.63 0 2026.5 4966
544.58 16.47 0 2146.26 5271
447.23 11.82 0 1819.88 6997
447.15 18.47 0 1789.29 4475
641.29 13.35 0 2141.16 3615
560 15.47 0 2202.16 2475
399.21 17.32 0 1829.78 4468
367.22 19.23 0 1735.9 5909
555.09 12.29 0 1925.27 5817
590.9 17.79 0 2110.13 5981
365.52 10.06 0 1617.48 5924
605.57 16.88 0 2156.95 4371
516.91 18.63 0 2124.39 6084
469.37 18.24 0 2027.62 3107
463.54 10.95 0 1993.13 4054
499.78 13.6 0 1916.27 6086
596.01 18.03 1 2497.09 8542
524.75 10.16 0 2153.17 4444
443.07 10.2 0 1652.13 4980
404.05 18.18 0 1520.96 2938
529.58 16.5 0 2158.65 5119
433.72 18.39 0 1650.91 4868
448.75 17.48 0 1802.36 5077
633.7 19.22 0 2029.55 5104
505.81 14.65 0 1905.55 5664
615.42 11.26 1 2380.44 7403
423.42 17.66 0 1616.88 6943
406.88 12.15 0 1541.44 4488
595.59 17.24 0 2180.24 4497
447.76 19.37 0 1852.18 4755
474.35 16.16 0 1690.27 4570
562.47 12.86 1 2471.83 7057
513.97 13.9 0 1912.82 3821
505.1 16.73 0 1908.34 5407
356.77 12.73 0 1714.79 4035
616.79 10.87 1 2338.91 5571
361.27 19.86 0 1683.29 5670
490.79 18.79 0 1959.13 5446
570.48 10.79 0 2100.39 3525
720.38 12.4 0 2707.46 5369
568.9 11.15 0 2120.54 4414
492.55 16.95 0 1981.57 5485
478.12 14.55 0 2014.03 6085
644.13 19.94 0 2095.76 6250
561.9 15.81 0 2198.88 6084
438.24 18.02 0 1804.85 7080
423.08 18.09 0 1643.42 5049
541.49 12.22 0 2235.69 2388
