"Sales" "Price" "Promotion" "Ad Spending" "Impressions"
475.26 11.18 0 1711.14 5617
494.02 16.11 0 1795.04 3430
488.76 12.49 0 1869.02 4992
658.21 13.48 0 2769.08 6588
515.33 15.96 0 1985.27 4056
493.53 15.66 1 2092.42 5305
702.31 15.57 1 2558.4 7222
451.12 13.05 0 1871.89 5885
528.4 10.61 0 1895.97 5087
556.9 13.44 0 1769.68 4062
500.2 10.41 0 1836.56 5121
538.84 14.98 0 2144.72 4858
342.28 19.02 0 1605.73 4678
569.62 17.38 0 2171.25 5750
521.33 18.74 0 2248.77 4020
539.06 18.23 0 2143.96 3725
400.58 14.08 0 2146.74 2970
527.22 11.05 1 2172.45 6455
518.27 13.94 1 2519.72 7682
422.84 19.53 0 1799.26 5867
580.12 14.67 1 2734.2 9080
390.19 12.33 0 1717.03 4807
618.2 12.18 0 2345.22 5594
507.67 12.58 0 2238.14 5253
475.28 16.56 0 2094.65 4330
490.11 10.38 0 1981.85 5199
514.63 17.99 0 2453.48 5529
599.04 11 0 1999.23 6684
503.78 18.59 0 1867.64 4245
491.99 12.82 0 1842.11 5933
477.61 13.97 0 1739.65 6833
455.25 14.2 0 2172.29 5694
499.58 18.27 0 1825.53 5880
674.53 12.84 0 2449.73 5182
670.89 12.09 1 2511.68 8286
664.36 15.62 0 2255.11 6808
528.67 14.28 0 2365.61 3711
425.92 12.35 0 1848.31 4555
450.5 14.86 0 1791.12 4214
454.01 16.98 0 1734.07 5847
456.25 15.03 0 2188.91 6204
498.63 10.72 0 1849.04 6257
420.6 10.62 0 1957.3 7101
475.07 11.31 0 1841.14 4076
583.27 12.29 0 1832.11 5558
526.82 13.47 0 2180.65 5614
553.02 16.4 0 2043.9 4429
656.2 12.22 0 2729.51 4903
605.92 17.34 0 2504.91 6333
612.66 14.24 0 2000.51 3943
433.85 13.79 0 1605.29 3553
509.84 17.82 0 1574.51 4489
540.07 17.41 0 2239.28 5891
680.55 14.81 0 2450.24 4774
497.56 16.92 0 1900.29 6849
542.77 17.15 0 2102.07 4324
555.63 16.07 0 2242.5 5552
462.31 19.82 0 1926.36 4945
524.54 19.98 0 1999.42 5559
625.1 13.24 0 2094.74 4911
386.46 10.51 0 2077.56 4333
522.08 11.86 0 2161.08 3740
426.72 11.93 0 1875.44 4935
562.17 16.02 0 2380.15 5335
453.82 18.18 0 1771.93 4446
504.1 10.35 0 2494.97 3531
464.59 14.62 0 1994.89 3573
564.3 11.11 1 2387.79 7136
569.43 13.97 1 2493.62 7775
585.63 12.33 1 2338.23 6520
421.11 11.25 0 1955.76 4754
412.46 12.17 0 1943.96 5018
468.68 18.08 0 1687.78 5602
604.47 16.35 0 2297.82 3980
381.94 11.67 0 1501.04 3194
573.94 19.23 0 2184.32 4980
371.28 13.08 0 1898.63 4043
620.88 19.88 0 2288.4 5248
489.64 19.96 1 1987.65 6914
503.61 19.95 0 2048.69 3825
518.28 13.91 0 1860.12 4239
547.64 16.03 0 2164.17 6519
559.65 19.24 0 2134.22 4901
652.66 16.72 1 2631.38 6225
465.56 15.54 0 1892.3 5157
481.45 18.51 0 1956.28 4978
432.4 14.3 0 1563.49 5348
510.14 13.63 0 2404.89 4641
459.42 17.47 0 1922.16 5858
475.26 18.39 0 2007.14 4041
397.09 17.09 0 1714.23 7289
473.8 16.9 0 2035.22 4403
576.59 14.55 0 2051.22 6783
449.88 15.2 0 1829.23 5200
454.42 13.39 0 1624.97 4923
580.9 11.9 0 2156 4428
478.53 15.06 0 1909.24 3451
416.2 17.28 0 1568.46 5899
515.75 14.85 0 1812.55 4045
514.24 17.22 0 2010.64 5032
617.85 12.14 0 2436.86 4413
440.01 10.48 0 2102.14 4303
428.4 14.51 0 2005.35 4698
467.14 15.33 0 2334.34 4088
471.17 14.63 0 2018.58 4273
449.49 18.59 0 1767.35 4720
634.89 18.73 0 2304.13 7524
488.41 19.5 0 1819.39 4601
573.77 19.54 0 2168.26 5218
573.02 14.03 0 2662.27 4052
437.6 14.31 0 2003 4549
590.63 10.74 0 2443.08 4699
574.54 18.45 0 2042.11 4045
534.77 19.16 0 2225.86 6126
562.44 13.33 0 2056.48 4142
507.89 16.93 0 1849.06 3861
529.04 17.36 0 1963.76 7169
538.26 19.66 0 1909.63 5893
611.33 12.36 0 1986.36 2926
414.13 17.87 0 1941.81 3734
500.13 15.19 0 1722.9 4826
639.49 18 0 2462.86 4798
476.23 17.88 0 1994.41 4302
544.13 11.99 0 2103.96 2949
609.53 19.53 0 2441.36 3505
489.79 11.65 0 1806.61 5758
433.16 13.57 0 1911.37 5202
596.17 11.32 1 2208.49 6106
535.25 10.46 0 2157.01 4645
591.9 10.44 0 1828.1 4694
524.52 16.26 0 2027.49 4808
536.33 12.22 0 2059.13 6113
663.26 15.69 0 2140.41 4001
510.73 19.39 0 1687.22 6036
506.4 15.44 0 1987.76 5939
575.48 19.47 1 2746.83 8393
634.32 15.73 1 2595.5 7814
472.17 14.68 0 1945.44 4402
552.16 15.84 0 1927.91 4802
626.45 10.74 1 2851.81 7617
403.73 11.79 0 1986.02 5027
588.97 16.44 0 2449.12 5589
496.28 18.88 0 1796.9 3836
482.31 11.78 0 1927.37 3883
575.04 13.7 0 2321.67 3103
587.65 11.57 0 2140.28 3651
489.68 12.9 0 1995.05 5038
563.52 14.2 0 2147.78 4344
366.56 19.66 0 1693.09 4315
589.5 12.26 1 2348.3 6009
476.51 17.45 0 1920.68 5171
538.21 13.69 0 1744.46 7080
585.68 19.85 0 1852.48 4309
393.18 14 0 1566.45 6713
580.5 17.52 0 2163.92 5741
475.68 15.05 0 2199.23 3786
554.8 12.63 0 1928.2 3979
342.86 10.06 0 1458.59 5949
599.64 16.79 0 2324.06 5395
550.27 14.16 0 2239.36 5427
435.06 10.94 0 1985.01 4946
486.52 13.52 0 1793.17 4944
577.19 19.95 0 1803.3 5840
405.62 10.36 0 1741.76 5908
483.6 10.1 1 2102.14 8232
483.66 19.75 0 2015.11 5649
447.34 17.09 0 2284.06 5254
629.78 10.64 0 2317.1 6028
615.44 10.38 0 2543.94 5754
443.49 17.42 0 1813.65 4852
551.8 19.8 0 1925.9 5481
510.57 13.2 0 2033.91 3108
558.92 11.08 1 2149.95 5989
736.55 12.75 1 3042.81 7554
618.06 13.96 1 2336.35 8105
593.21 10.15 1 2447.49 8081
446.59 17.36 0 2065.34 5916
705.75 16.76 1 2890.9 8512
498.9 17.26 0 1692.34 5688
510.1 18.49 1 2249.16 8875
518.88 10.93 0 1866 4562
690.02 18.03 0 2201.46 4758
444.88 19.11 0 1672.97 2273
733.36 19.75 0 2484.34 4765
686.52 13.97 1 2781.37 5860
683.04 16.44 1 2786.1 8520
418.29 19.47 0 1645.1 5958
381.5 16.09 0 1504.95 4835
428.06 12.87 0 2060.49 4455
540.23 11.25 0 2123.98 5792
468.78 12.34 0 2000.72 4100
530.14 10.34 0 1896.77 7443
609.6 14.36 1 2561.06 5227
435.56 14.77 0 1947.13 3874
493.57 15.02 0 1698.04 3213
747.15 17.05 1 2811.52 5706
508.52 14.9 0 2278.46 4847
464.15 18.65 0 1894.7 2638
503.72 13.73 1 1822.75 7131
514.55 13.31 0 1389.32 5792
494.07 17.58 0 2322.89 6658
673.76 19.42 0 2219.79 5726
431.56 15.18 0 1964.38 5271
448.19 18.94 0 1861.12 5860
565.39 10.2 0 2316.26 5430
556.59 16.47 0 2457.16 4173
552.47 19.13 0 2450.23 6245
506.42 13.77 0 1953.04 6122
488.14 16.6 1 2124.9 8284
515.2 11.27 0 2119.04 4679
466.51 12.34 0 1892.82 4859
696.49 18.39 1 2824.81 7418
607.09 13.09 1 2383.14 6119
365.01 16.34 0 1480.53 5553
519.24 18.52 1 2219.42 6967
434.03 16.1 0 1731.71 5945
438.7 16.72 0 1706.91 5091
500.82 17.17 0 1534.81 5034
