"Sales" "Price" "Promotion" "Ad Spending" "Impressions"
511.27 19.96 0 1909.23 4382
609.25 19.88 1 2557.49 8158
475.17 13.64 0 2141 6298
706.72 11.38 1 3017.11 6727
514.38 18.26 0 2407.65 5923
510.08 16.78 0 1997.51 5461
496.55 15.79 1 2057.03 8801
525.77 12.29 0 2045.41 5417
506.22 16.04 0 2115.83 5518
587.63 17.42 0 2086.32 4422
484.78 11.14 0 2094.11 4277
640.49 10.41 1 2504.05 7199
398.31 15.74 0 1833.04 5574
504.91 17.77 0 2272.33 5880
502.67 14.99 0 1915.68 5095
574.44 18.41 1 2561.02 7235
540.77 10.42 0 2192.4 5423
607.3 10.87 0 2174.38 4276
452.52 13.88 0 1877.94 3553
527.44 18.7 0 1849.7 5890
457.13 14.91 0 1817.04 5102
568.19 11.94 0 2175.23 4720
673.22 18.46 1 2652.7 7972
547.07 17.01 0 2313.42 4995
606.58 12.26 0 2478.01 5399
601 18.92 1 2344.34 6570
482.16 15.54 0 1834.2 4198
573.04 10.71 0 2228.03 4957
560.63 18.83 0 2149.43 4516
501.5 15.83 0 2017.63 3878
502.73 19.62 0 2130.61 5568
464.53 13.13 0 1793.44 5363
468.4 13.39 0 1654.02 4532
539.81 16.88 0 1973.38 3645
558.63 11.09 0 1843.18 4563
609.17 12.54 1 2465.45 6580
463.39 17.1 0 1951.44 7128
372.2 13.5 0 2165.5 6721
485.85 10.01 0 1763.15 5240
573.23 11.55 0 2064.57 6343
464.86 19.5 0 1683.01 5825
441.46 10.75 0 1935.4 5992
480.23 11.86 0 1649.79 4834
539.97 16.44 0 1611.44 6587
578.08 15.13 0 2069.69 4733
353.15 16.34 0 1982.9 5965
460.74 15.99 0 1955.38 5146
504.57 19.73 0 2091.37 4760
476.72 17.24 1 2057.78 8383
581.36 12.46 0 2257.9 4474
485.63 17.92 0 2376.57 7643
485.46 12.28 0 1974.48 4681
539.52 15.53 0 2190.39 4657
511.22 15.05 0 1900.09 6599
513.58 17.45 0 1918.25 6037
564.79 18.81 1 2491.97 6359
557.02 14.95 1 2077.34 7766
491.33 18.72 0 1640.11 4122
436.44 11.61 0 1935.38 5083
455.46 17.48 0 2298.64 5298
568.98 19.46 0 2199.46 4200
521.87 13.68 0 2455.74 6229
491.35 18.49 1 2570.97 5529
716.59 13.53 1 2788.69 6838
513.74 10.58 0 1825.18 4970
681.25 10.52 1 2632.55 7209
657.35 11.4 0 2420.9 5628
498.98 16.01 1 2405.65 5798
526.9 15.63 0 2264.04 4747
479.92 16.31 0 1797 5385
513.07 18.24 0 2374.3 3930
614.63 12.1 0 2147.36 5240
566.2 19.89 0 2322.2 5793
594.24 15.97 0 1889.74 6127
503.73 16.33 0 2147.18 5192
482.2 18.05 0 1943.57 6520
514.4 15.49 0 2244.23 5292
466.57 15.19 0 1720.35 3863
455.46 17.64 0 2037.72 4261
576.27 19.52 1 2528.48 6454
475.99 16.94 0 2179.21 4238
487.57 13.52 0 1946.1 3261
465.38 11.21 1 2227.67 8116
535.07 17.12 0 1754.99 5597
474.74 19.44 0 1842.79 4300
432 10.05 0 1553.19 5118
473.79 10.66 0 2140.17 3654
621.45 11.71 0 2317.86 6523
412.07 17.21 0 1630.24 4956
510.98 18.17 0 2088.1 5077
511.72 17.89 0 2161.45 4756
407.7 17.51 0 1826.95 5480
515.73 12.99 0 2010.31 4826
458.3 11.56 0 1929.73 5907
604.81 16.41 1 2634.72 6515
504.07 10.55 0 2116.13 7062
530.81 19.24 0 2322.64 5321
606.55 17.67 1 2579.87 8151
641.52 16.38 0 2241.6 5861
620.64 15.56 0 2199.49 7523
679.84 19.42 1 2685.95 8379
380.15 16.66 0 2013.42 4577
471.31 17.94 0 2076.95 4139
593.65 12.37 0 2250.38 3710
644.23 14.56 0 2521.06 3046
446.34 17.73 0 2026.99 6055
423.81 11.4 0 1882.39 5170
666.8 13.96 1 2653.56 7912
607.1 15.07 0 2409.91 4696
556.37 13.06 1 2559.77 7427
545.05 16.96 0 2141.07 5374
488.58 11.74 0 2233.73 4162
428.22 16.89 0 1716.89 4571
428.03 19.11 0 1753.75 5239
492.14 16.64 0 2132.18 4581
386.2 12.51 0 1709.91 4600
437.87 18.67 0 1953.04 6480
519.53 15.77 1 2438.38 7675
515.15 17.17 0 1886.78 5765
533.02 16.75 0 2268.27 6294
460.96 16.75 1 2252.84 8232
506.27 18.21 1 2072.72 5442
513.66 15.64 0 2071.24 4831
490.67 13.49 0 2252.19 4356
566.79 18.14 0 2063.67 6034
450.2 15.11 0 1831.92 4184
752.68 19.77 1 2788.91 6106
486.63 14.37 1 2421.42 8075
501.14 12.94 0 2085.36 8192
665.98 10.13 1 2742.26 6494
689.43 16.51 1 2881.12 6503
528.89 19.18 1 2524.25 7717
429.19 15.01 0 1985.6 3921
439.25 14.3 0 2118.53 3720
597.77 16.73 1 2426.78 7418
504.91 11.66 0 2118.67 3902
564.95 12.98 1 2124.49 7351
400.17 14.1 0 1525.67 6289
503.15 14.28 0 1878 4103
493.58 12.53 0 1833.58 4438
555.46 16.17 1 2565.6 9377
463.67 17.68 0 1761.29 5152
471.55 10.57 1 2274.32 6812
557.78 15.09 0 2286.13 3643
491.56 10.61 0 2101.88 4958
481.58 18.03 0 1847.02 4964
586.72 10.69 0 1946.48 5377
632.11 18.57 0 2440.56 5705
639.52 15.7 1 2822.86 7697
539.18 15.81 0 2022.4 6273
554.55 10.9 0 2048.88 4132
345.87 13.05 0 1605.15 4108
509.17 12.38 0 1652.6 5252
536.01 19.9 0 2287.44 5654
508.16 16.14 0 1859.93 3735
569.92 15.73 0 1934.17 5677
780.24 19.76 1 2948.46 6356
607.76 17.99 1 2680.07 8077
482.96 12.05 0 1914.46 6017
615.69 15.35 1 2565.1 8673
606.83 18.05 1 2489.67 6904
431.17 11.53 0 2004.49 6713
680.79 10.35 1 2651.16 7264
480.5 13.5 0 1939.52 4726
493.69 19.61 0 1718.77 5820
451.4 18.93 0 1826.13 4125
475.55 10.08 0 2019.38 6207
672.24 15.16 1 2667.65 9875
478.05 18.72 0 1891.1 5291
479.64 10.94 0 1970.12 7390
301.62 13.54 0 1462.77 4363
386.2 18.7 0 1711.67 5820
560.54 12.73 0 2213.32 5731
542.77 15.56 0 1869.73 5986
654.6 19.95 1 2878.88 6177
701.55 12.61 0 2669.9 5159
548.47 10.81 0 1776.3 3568
412.26 13.3 0 1665.13 3968
455.75 16.76 0 1634.74 5051
419.11 12.76 0 1858.93 4842
571.47 14.88 0 2314.3 4733
628.7 18.29 1 2442.17 6171
503.61 16.58 0 1952.69 4261
521.06 17.93 0 1888.87 4394
753.96 17.68 1 2861.87 6574
411.73 13.03 0 1625.86 5239
512.04 19.02 0 2178.5 3767
584.59 13.48 0 2158.3 3869
545.08 19.26 0 2197.01 4681
441.35 18.73 0 2045.61 6426
611.12 18 0 2080.1 3776
536.68 12.36 1 2607.36 6741
544.86 18.61 0 1853.24 4694
545.98 13.58 0 1997.52 5071
550.63 12.54 0 2391.12 6552
450.98 16.5 0 1914.72 3463
715.54 15.34 1 2640.48 6912
497.5 14.73 0 1976.19 3940
569.92 15.99 0 1951.11 6338
437.84 14.56 0 2038.34 5494
430.78 10.47 0 1481.72 4428
619.03 17.39 1 2618.83 7010
375.59 16.52 0 1665.45 4753
691.67 14.84 1 2791.62 7011
499.53 14.52 1 2199.95 6805
685.07 13.64 0 2639.65 3636
608.52 11.24 1 2608.46 7435
471.61 10.47 0 2003.49 4648
493.22 10.54 0 2105.64 4035
442.22 13.35 0 1748.12 5478
502.31 18.16 0 1800.15 5604
587.55 14.61 0 2280.17 3368
710.45 19.58 0 2453.21 5018
527.39 13.72 0 1906.18 5387
426.95 18.06 0 1797.37 6273
436.61 11.78 0 1986.12 5994
641.91 15.7 0 2368.49 6900
413.34 15.4 0 1715.23 4977
510.5 18.01 0 1980.14 4288
406.46 18.96 0 1576.33 5090
579.65 17.71 0 2207.48 4431
519.69 14.56 0 2255.37 6057
477.38 13.98 0 1966.89 5325
561.32 10.28 0 2231.15 3875
619.66 11.12 0 2604.65 5092
487.11 13.7 0 1815.4 5212
393.91 11.49 0 1534.46 5769
593.09 10.65 0 2213.84 5764
460.9 14.79 0 1328.87 3996
383.53 13.24 0 2067.77 5149
495.4 17.55 0 1698.92 4885
437.26 19.46 0 2114.52 4477
552.61 13.09 0 2216.39 5107
576.62 16.3 0 2367.1 6216
557.59 16.16 0 2186.06 2941
630.95 13.42 0 2148.14 5626
559.34 12.98 0 2138.68 5663
603.86 13.91 1 2726.57 7526
489.04 13.94 0 1895.72 5339
467.14 10.19 0 1615.13 5476
489.34 16.42 0 1783.62 4865
609.77 10.02 1 2481.8 7275
416.08 10.21 0 1902.73 3989
489.36 17.44 0 1951.76 5495
610.27 18.35 0 2190.76 4173
679.38 16.59 1 2509.95 7914
466.59 13.09 0 1912.7 6570
485.19 15.19 0 1914.98 4000
549.14 11.93 1 2374.61 6165
590.25 12.5 0 2343.18 5107
791.73 14.35 1 3226.02 7854
489.81 12.26 0 1951.61 5300
492.42 13.42 1 2029.23 5298
623.79 11.79 1 2470.79 6203
529.4 19.88 0 2004.78 3302
522.63 15.28 0 2103.98 4895
515.83 19.52 0 1896.84 5718
494.11 18.75 0 1962.27 7923
515.8 14.15 0 2064.03 5808
635.76 14.25 1 2623.3 6872
454.32 12.02 0 2234.23 5747
604.65 12.34 0 1881.77 6120
573.77 16.61 0 2111.66 5025
415.61 18.83 0 1945.53 5938
526.86 16.69 0 2060.62 4458
553.5 13.58 0 1815.33 5168
512.25 11.9 0 1724.51 5526
662.85 13.27 1 3230.19 7250
504.9 19.61 0 1983.53 3418
487.07 11.3 0 1876.65 6500
559.09 17.77 0 1945.17 5695
437.97 13.2 0 2126.16 6364
383.61 14.64 0 1410.17 3546
429.69 12.59 0 1469.06 6086
572.47 10.98 1 2528.86 4805
490.26 15.98 0 2256.66 4082
635.06 17.76 1 2418.92 6665
514.68 15.88 0 2259.09 5465
594.08 19.17 0 2069.93 5196
571.03 12.48 0 2387.36 5011
581.63 10.22 1 2604.7 6591
755.91 11.41 0 2431.22 5865
517.24 17.93 0 1939.66 3076
375.35 15.06 0 1729.59 5668
684.85 18.26 0 2204.51 4875
473.07 17.84 0 1904.9 4621
408.32 11.06 0 1806.16 4034
569.67 19.56 0 2250.33 3951
513.58 16.14 0 2122.09 4827
459.56 12.04 0 2054.64 5195
481.83 12.97 0 1740.64 4773
482.24 11.64 0 1934.66 5710
467 12.39 0 1671.41 4504
385.08 11.16 0 1710.48 5888
684.9 16.63 1 2637.87 7287
476.72 14.3 0 1751.96 4294
438.54 15.33 0 2026.78 7727
573.33 19.13 1 2227.76 6879
587.47 19.14 0 2323.07 3336
429.57 18.66 0 1910.71 3097
700.44 13.43 0 2181.53 5397
406.45 16.86 0 1803.25 4704
609.82 17.47 0 2499.47 2997
632.81 12.19 0 2455.88 4647
470.55 15.32 0 1513.86 4478
463.66 15.94 0 1825.28 4548
537.76 15.71 0 2381.3 5119
559.89 15.52 0 2127.67 4755
474.87 12.52 0 1682.47 4938
558.19 13.98 0 2328 4359
627.87 13.11 1 2619.46 6046
582.83 16.78 0 2321.23 5370
436.85 15.49 0 1726.67 5005
494 12.72 0 2028.5 2889
528.84 10.32 0 2188.38 6181
661.13 11.02 1 2549.95 6093
550.7 18.49 0 2037.67 6431
612.78 14.03 1 2752.91 8510
555.83 17.15 1 2262.51 6867
547.12 14.96 0 2259.74 4131
562.49 18.76 0 2197.9 4694
498.78 17.03 0 2062.77 5367
409.73 13.25 0 1989.27 6305
575.46 16.97 0 2612.7 5803
382.4 17.67 0 1505.52 5110
512.5 12.62 1 2330.35 6071
522.58 14.7 0 2195.73 5118
464.73 19.22 0 2041.08 4951
465.89 17.32 0 2025.93 3073
663.56 17.41 1 2857.56 6806
537.96 16.87 0 2047.39 5090
659.99 19.47 0 2375.36 5780
455.28 15.25 0 2019.68 5626
569.89 12.57 0 2614.62 6384
555.39 14.44 1 2318.07 7582
527.24 16.01 1 1929.95 6961
613.02 12.89 1 2776.44 5905
617.87 14.85 1 2902.49 6377
528.71 14.2 0 2025.98 7180
408.72 15.12 0 2022.98 4568
452.16 18.35 0 1509.63 3399
506.16 12.66 0 2204.33 4069
486 14.86 0 1864.5 4952
598.56 19.99 0 2210.37 5173
630.09 17.41 1 2792.72 6953
559.08 14.52 1 2000.76 7099
484.04 14.23 0 1857.53 5162
383.11 18.23 0 1939.62 4341
466.02 17.7 0 1854.22 4894
424.02 11.99 0 1913.16 5115
535.61 11.65 0 2098.5 6421
527.09 18.29 0 1925.51 4688
585.8 19.23 0 2336.14 6691
440.19 13.07 0 1877.85 4665
489.66 16.92 0 2000.57 6322
509.99 19.23 0 2228.52 4509
548.76 11.14 0 2127.2 5042
552.35 14.49 1 2330.68 7821
558.12 13.36 1 2196.34 7358
510.08 14.86 0 1933.76 3139
562.85 18.84 0 2375.19 4829
442.57 17.08 0 1774.7 4670
485.2 14.79 1 2127.56 3755
498.98 11.27 0 1981.91 4860
601.42 14.72 0 2400.91 5840
