"Sales" "Price" "Promotion" "Ad Spending" "Impressions"
621.71 18.68 0 2377.29 5748
546.97 14.75 0 2032 4744
571.74 19.31 1 2398.28 7576
641.73 12.15 0 2181.92 5499
409.01 17.28 0 1847.95 4536
523.35 11.53 0 2068.15 4958
475.91 12.43 1 2397.42 8491
489.8 15.24 0 1836.34 6600
600.29 16.21 0 1920.7 5468
413 12.27 0 1788.38 3760
510.86 17.06 0 2272.46 3258
542.09 19.63 0 2409.42 5079
458.83 10.07 0 1921.18 6109
598.01 12.15 1 2671.08 8615
443.66 17.63 0 1589.09 4795
497.98 13.72 0 2151.14 5008
649.44 18.88 1 2417.86 8011
525.38 13.07 0 1956.53 4212
453.96 12.93 0 1819.17 5315
570.12 13.32 1 2507.41 7536
262.75 16.12 0 1278.94 4392
627.78 10.75 1 2237.78 6697
417.26 15.41 0 1857.24 5079
409.03 14.96 0 1865.5 5746
550.56 18.81 1 2201.11 7866
423.09 16.82 0 1811.91 6017
559.84 13.27 0 1897.72 4448
648.22 16.98 0 2513.23 5502
623.84 19.99 0 2359.56 3742
571.55 17.97 0 2247.42 5236
505.67 14.41 1 1854.57 7731
578.89 18.91 0 2208.76 3817
599.4 11.77 0 1833.61 3174
580.48 14.05 1 2264.29 6315
547.99 16.67 0 1949.27 5202
376.97 10.04 0 1336.79 6795
626.19 17.28 0 1982.27 6036
470.52 14.63 0 2202.29 5627
620.87 13.4 1 2347.85 6272
354.11 15.68 0 1126.63 4443
514.95 15.32 0 1990.74 4075
560.02 16.8 1 2277.38 7670
431.37 10.77 0 2092.5 5337
577.67 17.58 0 1851.15 6770
559.12 19.36 0 2177.96 5696
678.89 19.31 0 2513.79 5286
600.51 11.96 1 2432.82 7978
498.72 17.84 0 2237.85 5136
701.65 16.15 1 2600.7 5654
725.78 12.83 1 2897.33 6651
529 15.86 0 1688.17 6189
550.28 15.57 1 2457.45 8041
659.58 19.69 1 2802.33 7228
572.35 16.94 0 2645.45 5580
648.3 13.82 1 2562.82 8110
515.71 10.98 0 1856.11 5490
523.36 17.73 0 1977.79 3660
467.66 11.83 1 2100.64 8887
478.79 18.21 0 1873.18 4164
471.95 11.64 0 2241.25 7361
524.17 17.4 0 1979.44 6946
725.42 11.56 1 3047.74 8025
637.27 13.75 0 2404.82 4557
440.32 18.1 0 1519.12 5717
513.75 19.35 0 1952.91 3876
615.89 17.3 1 2414.2 8045
334.12 14.15 0 1385.39 4357
545.08 13.47 0 2239.77 4102
529.29 19.59 0 1963.04 5801
573.42 11.06 0 2418.59 5831
560.61 15.06 1 2513.5 8973
466.27 10.78 0 1655.6 5139
440.56 18 0 1920.74 4605
572.64 14.35 1 2382.63 7512
427.92 19 0 1843.31 3820
716.65 12.88 1 2571.83 5893
372.57 15.5 0 1268.99 6471
506.47 20 0 2335.09 4411
572.34 12.42 0 2530.96 4607
515.89 14.42 0 1956.75 5178
585.6 10.21 0 2438.81 4916
511.61 18.24 0 2452.11 3254
493.06 10.61 0 1896.1 5531
674.56 19.17 1 2530.36 5732
427.24 16.74 0 1507.2 6387
579.35 18.73 0 2296.81 4536
634.42 17.41 1 2343.42 6295
370.8 12.84 0 1669.23 5299
593.63 10.56 1 2732.27 6692
401.22 14.91 0 1779.84 5025
533.55 13.84 0 1915 6883
605.06 12.46 1 2615.42 6641
528.8 19.33 0 2193.2 3445
559.5 14.16 0 1943.52 4998
733.46 10.44 1 3017.54 7100
397.99 13.78 0 1708.52 6386
503.99 10.85 0 2197.99 5005
487.37 11.16 0 2141.04 4914
678.84 10.54 1 2544.29 8250
460.72 19.29 0 1840.5 5659
579.61 19.7 1 2323.74 6661
544.05 19.01 0 2256.98 5501
416.79 10.18 0 1682.14 4848
496.73 17.36 0 1766.42 5162
412.01 18.21 0 1594.18 3253
475.67 13.71 0 1833.59 5415
537.97 15.03 0 1709.98 4976
443.83 12.3 0 1834.61 6250
684.47 11.49 0 2489.31 4814
674.24 14.71 1 2559.54 8086
543.49 11.6 0 2108.99 5486
397.52 15.61 0 1780.75 4365
409.32 17.84 0 1800.7 4546
494.07 18.07 0 1766.86 4309
385.17 15.53 0 1567.01 4557
496.01 12.95 0 1888.41 5065
446.07 13.36 0 1864.02 4629
541.37 16.62 1 1992.49 7637
456.64 18.24 0 2202.08 5730
651.9 19.62 1 2651.71 5458
432.31 16.73 0 1454.61 6198
619.65 13.48 1 2318.35 7199
433.25 11.42 0 1717.48 4607
655.18 11.75 0 2521.31 3882
438.6 19.04 0 1863.02 6192
721.04 18 1 2693.62 5749
631.34 15.45 1 2317.01 7671
392.87 13.04 0 1637.89 5816
529.31 10.51 0 2112.21 5774
469.95 14.26 0 1397.62 6445
539.61 19.55 0 2025.58 4112
630.12 18.74 1 2665.56 6770
402.88 10.84 0 1831.07 4453
505.05 11.47 0 2058.84 6540
506.28 13.65 0 2221.73 5853
614.73 14.8 1 2412.32 6460
592.99 10.73 0 2244.38 5965
612.12 11.39 0 2339.42 6063
569.88 16.33 1 2282.61 7135
600.38 19.37 0 2432.43 5377
518.5 11.26 0 1936.99 6064
544.54 10.46 0 2386.08 4682
582.32 18.68 0 2108.44 4158
449.75 12 0 1989.64 4085
427.04 19.98 0 1729.42 7398
589.08 15.39 0 2351.62 4590
473.58 10.94 0 2163.95 5108
